Run,Fraction,TechRepMixture,Mixture,Channel,BioReplicate,Condition
17CPTAC_CCRCC_W_JHU_20180517_LUMOS_f03,3,1,plex17,129C,CPT0025920001_N,N
17CPTAC_CCRCC_W_JHU_20180517_LUMOS_f01,1,1,plex17,130N,CPT0025880003_T,T
17CPTAC_CCRCC_W_JHU_20180517_LUMOS_f02,2,1,plex17,130N,CPT0025880003_T,T
17CPTAC_CCRCC_W_JHU_20180517_LUMOS_f03,3,1,plex17,130N,CPT0025880003_T,T
17CPTAC_CCRCC_W_JHU_20180517_LUMOS_f01,1,1,plex17,130C,CPT0069160003_T,T
17CPTAC_CCRCC_W_JHU_20180517_LUMOS_f02,2,1,plex17,130C,CPT0069160003_T,T
17CPTAC_CCRCC_W_JHU_20180517_LUMOS_f03,3,1,plex17,130C,CPT0069160003_T,T
17CPTAC_CCRCC_W_JHU_20180517_LUMOS_f01,1,1,plex17,131N,pool17_NORM,Norm
17CPTAC_CCRCC_W_JHU_20180517_LUMOS_f02,2,1,plex17,131N,pool17_NORM,Norm
17CPTAC_CCRCC_W_JHU_20180517_LUMOS_f03,3,1,plex17,131N,pool17_NORM,Norm
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f01,1,1,plex18,126,CPT0007870001_N,N
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f02,2,1,plex18,126,CPT0007870001_N,N
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f03,3,1,plex18,126,CPT0007870001_N,N
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f01,1,1,plex18,127N,CPT0001270001_N,N
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f02,2,1,plex18,127N,CPT0001270001_N,N
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f03,3,1,plex18,127N,CPT0001270001_N,N
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f01,1,1,plex18,127C,CPT0077110003_T,T
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f02,2,1,plex18,127C,CPT0077110003_T,T
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f03,3,1,plex18,127C,CPT0077110003_T,T
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f01,1,1,plex18,128N,QC8_QC,QC
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f02,2,1,plex18,128N,QC8_QC,QC
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f03,3,1,plex18,128N,QC8_QC,QC
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f01,1,1,plex18,128C,CPT0077140001_N,N
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f02,2,1,plex18,128C,CPT0077140001_N,N
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f03,3,1,plex18,128C,CPT0077140001_N,N
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f01,1,1,plex18,129N,CPT0001260009_T,T
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f02,2,1,plex18,129N,CPT0001260009_T,T
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f03,3,1,plex18,129N,CPT0001260009_T,T
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f01,1,1,plex18,129C,CPT0076350001_N,N
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f02,2,1,plex18,129C,CPT0076350001_N,N
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f03,3,1,plex18,129C,CPT0076350001_N,N
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f01,1,1,plex18,130N,CPT0076330003_T,T
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f02,2,1,plex18,130N,CPT0076330003_T,T
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f03,3,1,plex18,130N,CPT0076330003_T,T
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f01,1,1,plex18,130C,CPT0007860003_T,T
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f02,2,1,plex18,130C,CPT0007860003_T,T
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f03,3,1,plex18,130C,CPT0007860003_T,T
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f01,1,1,plex18,131N,pool18_NORM,Norm
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f02,2,1,plex18,131N,pool18_NORM,Norm
18CPTAC_CCRCC_W_JHU_20180521_LUMOS_f03,3,1,plex18,131N,pool18_NORM,Norm
